,match,day_of_week,date,hour,venue,referee,group,1,2,attendance,1_expected_goals,2_expected_goals,1_poss,2_poss,1_goals,2_goals,1_attempts,2_attempts,1_conceded,2_conceded,1_goal_inside_penalty_area,2_goal_inside_penalty_area,1_goal_outside_penalty_area,2_goal_outside_penalty_area,1_offtarget,2_offtarget,1_attempts_inside_penalty_area,2_attempts_inside_penalty_area,1_attempts_outside_penalty_area,2_attempts_outside_penalty_area,1_offsides,2_offsides,1_goal_prevented,2_goal_prevented,1_own_goal,2_own_goal,1_forced_turnovers,2_forced_turnovers,1_defensive_pressure_applied,2_defensive_pressure_applied,team1_completed_passes,team1_attempted_pases,team2_completed_passes,team2_attempted_pases,team1_shots_on_target,team2_shots_on_target,team1_total_shots,team2_total_shots,team1_saves,team2_saves,team1_fouls,team2_fouls,team1_corners,team2_corners,team1_crosses,team2_crosses,team1_tackles,team2_tackles,team1_interceptions,team2_interceptions,team1_aerials_won,team2_aerials_won,team1_clearances,team2_clearances,team1_offsides,team2_offsides,penalties scored team1,penalties scored team2,free kicks team1,free kicks team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2
24,25,Sun,27-Nov-22,11:00,Ahmed bin Ali Stadium,Michael Oliver,Group E,JAPAN,COSTA RICA,41479,0.9,0.1,57,43,0,1,14,4,1,0,0,1,0,0,4,1,7,1,7,3,0,2,4,14,0,0,47,66,300,294,528.0,619.0,371.0,473.0,3.0,1.0,13.0,4.0,0.0,3.0,22.0,9.0,5.0,0.0,14.0,6.0,17.0,25.0,4.0,9.0,12.0,13.0,7.0,20.0,0.0,2.0,0.0,0.0,11.0,22.0,3.0,3.0,0.0,0.0
25,26,Sun,27-Nov-22,14:00,Al Thumama Stadium,Cesar Ramos,Group F,BELGIUM,MOROCCO,43738,1.0,1.5,67,33,0,2,10,11,2,0,0,2,0,0,6,6,5,6,5,5,3,3,11,10,0,0,38,78,194,360,602.0,701.0,287.0,351.0,3.0,4.0,10.0,10.0,2.0,3.0,10.0,14.0,9.0,1.0,22.0,8.0,15.0,22.0,7.0,9.0,15.0,11.0,5.0,24.0,3.0,3.0,0.0,0.0,17.0,13.0,1.0,1.0,0.0,0.0
26,27,Sun,27-Nov-22,17:00,Khalifa International Stadium,Andrés Matonte,Group F,CROATIA,CANADA,44374,2.6,0.4,49,51,4,1,13,9,1,4,3,1,1,0,2,3,9,2,4,7,1,3,9,13,0,0,87,72,347,316,402.0,498.0,435.0,528.0,10.0,2.0,13.0,8.0,1.0,6.0,13.0,5.0,5.0,2.0,21.0,16.0,25.0,15.0,10.0,6.0,6.0,13.0,19.0,29.0,1.0,3.0,0.0,0.0,8.0,14.0,2.0,2.0,0.0,0.0
27,28,Sun,27-Nov-22,20:00,Al Bayt Stadium,Danny Makkelie,Group E,SPAIN,GERMANY,68895,0.6,1.3,64,36,1,1,7,10,1,1,1,1,0,0,4,5,3,7,4,3,2,5,11,7,0,0,79,101,275,387,569.0,670.0,287.0,381.0,3.0,4.0,7.0,11.0,3.0,2.0,13.0,11.0,6.0,5.0,6.0,11.0,17.0,29.0,8.0,13.0,9.0,6.0,13.0,12.0,2.0,5.0,0.0,0.0,16.0,15.0,1.0,3.0,0.0,0.0
28,29,Mon,28-Nov-22,11:00,Al Janoub Stadium,Mohammed Abdulla Hassan,Group G,CAMEROON,SERBIA,39789,2.2,1.9,41,59,3,3,13,16,3,3,3,2,0,1,3,8,9,11,4,5,0,4,16,13,0,0,83,81,285,234,271.0,390.0,437.0,556.0,8.0,5.0,13.0,15.0,2.0,5.0,8.0,13.0,4.0,3.0,19.0,21.0,8.0,16.0,19.0,5.0,15.0,13.0,22.0,18.0,0.0,4.0,0.0,0.0,17.0,8.0,2.0,2.0,0.0,0.0
29,30,Mon,28-Nov-22,14:00,Education City Stadium,Anthony Taylor,Group H,KOREA REPUBLIC,GHANA,43983,1.8,1.6,63,37,2,3,21,8,3,2,2,3,0,0,8,3,15,7,6,1,1,1,8,21,0,0,53,75,220,324,494.0,601.0,270.0,351.0,6.0,3.0,22.0,7.0,0.0,4.0,13.0,9.0,12.0,5.0,46.0,15.0,15.0,17.0,2.0,6.0,22.0,18.0,19.0,50.0,1.0,1.0,0.0,0.0,10.0,14.0,2.0,2.0,0.0,0.0
30,31,Mon,28-Nov-22,17:00,Stadium 974,Ivan Barton,Group G,BRAZIL,SWITZERLAND,43649,1.0,0.3,54,46,1,0,9,4,0,1,1,0,0,0,2,1,6,2,3,2,3,1,4,9,0,0,85,80,282,344,511.0,604.0,423.0,517.0,5.0,0.0,13.0,6.0,0.0,4.0,10.0,17.0,8.0,3.0,25.0,9.0,21.0,18.0,10.0,4.0,8.0,5.0,9.0,26.0,3.0,1.0,0.0,0.0,18.0,13.0,1.0,1.0,0.0,0.0
31,32,Mon,28-Nov-22,20:00,Lusail Iconic Stadium,Alireza Faghani,Group H,PORTUGAL,URUGUAY,88668,1.3,1.3,59,41,2,0,14,10,0,2,1,0,1,0,7,6,4,6,10,4,2,0,11,14,0,0,68,81,226,362,525.0,643.0,315.0,438.0,2.0,3.0,14.0,11.0,3.0,1.0,10.0,16.0,6.0,2.0,15.0,17.0,10.0,12.0,7.0,12.0,15.0,7.0,17.0,12.0,3.0,0.0,1.0,0.0,15.0,13.0,3.0,2.0,0.0,0.0
32,33,Tue,29-Nov-22,16:00,Khalifa International Stadium,Clement Turpin,Group A,NETHERLANDS,QATAR,44569,0.9,2.1,61,39,2,0,13,6,0,2,2,0,0,0,5,2,10,2,3,4,4,0,5,14,0,0,62,52,319,322,365.0,482.0,203.0,312.0,4.0,2.0,9.0,13.0,1.0,3.0,23.0,11.0,3.0,6.0,21.0,21.0,15.0,10.0,7.0,10.0,21.0,17.0,19.0,29.0,0.0,3.0,0.0,0.0,9.0,24.0,1.0,0.0,0.0,0.0
33,34,Tue,29-Nov-22,16:00,Al Bayt Stadium,Bakary Papa Gassama,Group A,ECUADOR,SENEGAL,66784,1.6,0.1,63,37,1,2,8,15,2,1,1,2,0,0,3,8,5,11,3,4,0,3,15,8,0,0,59,62,190,243,739.0,814.0,364.0,451.0,4.0,3.0,13.0,5.0,3.0,2.0,19.0,9.0,4.0,2.0,6.0,14.0,16.0,9.0,10.0,12.0,10.0,7.0,11.0,9.0,5.0,0.0,0.0,1.0,14.0,22.0,0.0,1.0,0.0,0.0
